11.0 7.0 9.0 7.0 5.0 10.0 9.0 10.0 8.0 8.0 6.0 7.0 8.0 8.0 8.0 9.0 7.0 7.0 6.0 2.0 1.0 2.0 1.0 2.0 2.0 1.0 1.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 0.0 1.0 1.0 1.0 2.0 4.0
7.0 8.0 7.0 8.0 11.0 10.0 15.0 14.0 15.0 13.0 15.0 15.0 15.0 11.0 14.0 14.0 16.0 16.0 14.0 15.0 14.0 13.0 12.0 9.0 15.0 14.0 15.0 14.0 15.0 16.0 15.0 15.0 13.0 15.0 14.0 15.0 16.0 15.0 14.0 14.0
7.0 12.0 9.0 8.0 10.0 9.0 7.0 10.0 11.0 12.0 10.0 11.0 10.0 13.0 13.0 15.0 15.0 15.0 14.0 12.0 13.0 14.0 16.0 16.0 14.0 16.0 16.0 16.0 15.0 16.0 16.0 15.0 15.0 15.0 16.0 16.0 16.0 16.0 16.0 16.0
12.0 9.0 8.0 7.0 6.0 6.0 6.0 5.0 5.0 4.0 3.0 3.0 0.0 0.0 1.0 1.0 1.0 3.0 1.0 1.0 1.0 0.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0
10.0 11.0 10.0 13.0 11.0 12.0 13.0 10.0 13.0 11.0 13.0 12.0 13.0 14.0 15.0 14.0 16.0 15.0 14.0 15.0 14.0 14.0 13.0 15.0 16.0 15.0 13.0 14.0 16.0 15.0 15.0 15.0 14.0 15.0 15.0 13.0 14.0 13.0 12.0 11.0
10.0 9.0 14.0 12.0 11.0 13.0 11.0 10.0 11.0 11.0 14.0 15.0 14.0 13.0 14.0 13.0 13.0 13.0 14.0 15.0 14.0 16.0 16.0 14.0 12.0 15.0 15.0 16.0 14.0 15.0 16.0 13.0 15.0 16.0 15.0 15.0 14.0 14.0 15.0 14.0
10.0 5.0 4.0 4.0 5.0 3.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0 6.0 5.0 6.0 6.0 3.0 1.0 3.0 1.0 1.0 2.0 0.0 1.0 1.0 2.0 1.0 0.0 0.0 1.0 2.0 2.0 2.0 2.0 2.0 3.0 4.0 3.0 2.0
10.0 11.0 10.0 11.0 11.0 12.0 11.0 11.0 14.0 14.0 13.0 15.0 12.0 15.0 14.0 14.0 13.0 15.0 16.0 16.0 15.0 14.0 13.0 12.0 13.0 14.0 13.0 15.0 12.0 15.0 13.0 13.0 13.0 16.0 15.0 15.0 14.0 14.0 15.0 14.0
8.0 10.0 12.0 10.0 14.0 13.0 15.0 13.0 14.0 15.0 15.0 14.0 16.0 14.0 16.0 15.0 15.0 14.0 16.0 15.0 14.0 16.0 16.0 16.0 16.0 16.0 15.0 15.0 16.0 13.0 14.0 15.0 14.0 16.0 16.0 16.0 15.0 16.0 15.0 16.0
4.0 7.0 4.0 4.0 2.0 6.0 5.0 4.0 2.0 2.0 2.0 0.0 0.0 1.0 0.0 0.0 1.0 2.0 3.0 5.0 1.0 1.0 1.0 4.0 3.0 1.0 1.0 3.0 0.0 0.0 1.0 2.0 2.0 3.0 2.0 2.0 2.0 1.0 2.0 0.0
12.0 7.0 7.0 8.0 4.0 9.0 11.0 8.0 9.0 12.0 9.0 10.0 10.0 11.0 10.0 12.0 13.0 13.0 14.0 15.0 16.0 15.0 15.0 14.0 13.0 13.0 14.0 13.0 16.0 13.0 16.0 16.0 16.0 16.0 15.0 14.0 16.0 16.0 15.0 13.0
11.0 6.0 4.0 7.0 5.0 5.0 0.0 0.0 2.0 4.0 5.0 3.0 0.0 5.0 6.0 1.0 5.0 5.0 4.0 4.0 6.0 5.0 6.0 5.0 1.0 2.0 3.0 5.0 5.0 1.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 2.0 1.0
7.0 6.0 4.0 4.0 5.0 5.0 2.0 2.0 2.0 2.0 1.0 1.0 1.0 2.0 1.0 3.0 1.0 2.0 2.0 2.0 1.0 5.0 3.0 2.0 3.0 2.0 2.0 3.0 2.0 4.0 3.0 3.0 1.0 3.0 0.0 1.0 3.0 3.0 4.0 2.0
6.0 6.0 8.0 6.0 8.0 6.0 6.0 9.0 5.0 6.0 8.0 7.0 7.0 7.0 7.0 6.0 6.0 6.0 5.0 6.0 4.0 5.0 6.0 6.0 4.0 5.0 4.0 5.0 2.0 3.0 4.0 3.0 2.0 3.0 1.0 4.0 2.0 4.0 2.0 1.0
11.0 5.0 8.0 6.0 6.0 8.0 8.0 7.0 8.0 6.0 2.0 4.0 5.0 5.0 4.0 5.0 7.0 7.0 8.0 7.0 11.0 10.0 12.0 14.0 14.0 15.0 14.0 12.0 13.0 13.0 13.0 14.0 12.0 11.0 15.0 16.0 16.0 16.0 15.0 16.0
